song_id,name,artist,album,popularity,youtube_url,tempo,energy,spectral_rolloff,chroma,danceability,listeners,plays,replayability,genre_afrobeats,genre_afrofusion,genre_afrohouse,genre_afropop,genre_afroswing,genre_alternative,genre_amapiano,genre_blues,genre_bongo,genre_classic,genre_country,genre_dance,genre_dancehall,genre_disco,genre_drill,genre_edm,genre_electronic,genre_folk,genre_funk,genre_genge,genre_gengetone,genre_gqom,genre_grime,genre_grunge,genre_hiphop,genre_house,genre_indie,genre_jazz,genre_kenyan,genre_kenyan drill,genre_kenyan hiphop,genre_kenyan rnb,genre_latin,genre_metal,genre_mugithi,genre_neosoul,genre_pop,genre_punk,genre_rap,genre_reggae,genre_reggaeton,genre_rnb,genre_rock,genre_singer-songwriter,genre_soft rock,genre_soul,genre_synthpop,genre_tanzanian hiphop,genre_trap,genre_uk rap
59D4DOkspUbWyMmbAPQkxZ,VOY A LLeVARTE PA PR,Bad Bunny,DeBÍ TiRAR MáS FOToS,89,https://www.youtube.com/watch?v=X2MGCIDOMZ4,135.9991776,0.215575024,6091.873994,0.388074934,6.225017888,287714,2216888,7.705179449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5ZLUm9eab8y3tqQ1OhQSHI,Abracadabra,Lady Gaga,Abracadabra,89,https://www.youtube.com/watch?v=vBynw9Isr28,123.046875,0.113215044,5046.617414,0.455076844,5.450682527,534027,7961280,14.90801027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars,Unorthodox Jukebox,89,https://www.youtube.com/watch?v=e-fA-gBCkj0,143.5546875,0.289117157,4835.232187,0.359735459,5.817775707,1938353,18553988,9.572037704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,Not Like Us,89,https://www.youtube.com/watch?v=H58vbez_m4E,99.38401442,0.265514076,4794.50711,0.518076181,4.471827144,1491926,21082656,14.13116736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,Lover,88,https://www.youtube.com/watch?v=ic8j13piAhQ,112.3471467,0.246311203,4288.45892,0.41874215,4.908743042,1405497,41108389,29.24829366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7BRD7x5pt8Lqa1eGYC4dzj,CHIHIRO,Billie Eilish,HIT ME HARD AND SOFT,88,https://www.youtube.com/watch?v=e_AZJzYe7CU,112.3471467,0.270101666,2236.593582,0.424816251,7.343722436,1122326,19945863,17.77189783,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,Si Antes Te Hubiera Conocido,88,https://www.youtube.com/watch?v=QCZZwZQ4qNs,129.1992188,0.236758351,4580.910804,0.352926373,6.087184073,310620,3015401,9.707684631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,24K Magic,88,https://www.youtube.com/watch?v=h6kQSxZL_3k,135.9991776,0.208750889,5520.88862,0.422768116,5.152460873,1354805,11832767,8.733926285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2qSkIjg1o9h3YT9RAgYN75,Espresso,Sabrina Carpenter,Espresso,88,https://www.youtube.com/watch?v=eGNiLQ09yyU,103.359375,0.288676709,6579.071811,0.366054416,6.125401212,1631286,39286932,24.08341149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,DECIDE,88,https://www.youtube.com/watch?v=xy3AcmW0lrQ,161.4990234,0.21202445,4624.124339,0.426328778,4.573080332,1294631,19735633,15.24421476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
